Name
Augenklinik - Dr. Hoffmann
Krankenhaus der evangelisch-lutherischen Diakonissenanstalt Marienstift
HEH Herzogin Elisabeth Hospital
Asklepios Fachklinikum Göttingen
Asklepios Fachklinikum Tiefenbrunn
DIAKOVERE Friederikenstift
DIAKOVERE Annastift
DRK-Clementinenhaus
Sophienklinik GmbH
KRH Klinikum Großburgwedel
KRH Klinikum Lehrte
Krankenhaus Lindenbrunn
Sana Klinikum Hameln-Pyrmont
Kreis- und Stadtkrankenhaus Alfeld
HELIOS Klinikum Hildesheim GmbH
